TIPO	LEXEMA	LINEA	COLUMNA
INT	int	1	0
ID	f	1	4
PA	(	1	5
INT	int	1	6
ID	x	1	10
PC	)	1	11
PYC	;	1	12
INT	int	1	13
ID	sumar	1	17
PA	(	1	22
INT	int	1	23
ID	a	1	27
COMA	,	1	28
INT	int	1	30
ID	b	1	34
PC	)	1	35
PYC	;	1	36
INT	int	2	0
ID	max_int	2	4
PA	(	2	11
INT	int	2	12
ID	a	2	16
COMA	,	2	17
INT	int	2	19
ID	b	2	23
PC	)	2	24
PYC	;	2	25
DOUBLE	double	3	0
ID	promedio3	3	7
PA	(	3	16
INT	int	3	17
ID	a	3	21
COMA	,	3	22
INT	int	3	24
ID	b	3	28
COMA	,	3	29
INT	int	3	31
ID	c	3	35
PC	)	3	36
PYC	;	3	37
VOID	void	4	0
ID	contar_hasta	4	5
PA	(	4	17
INT	int	4	18
ID	n	4	22
PC	)	4	23
PYC	;	4	24
INT	int	5	0
ID	factorial	5	4
PA	(	5	13
INT	int	5	14
ID	n	5	18
PC	)	5	19
PYC	;	5	20
INT	int	6	0
ID	prueba_break_continue	6	4
PA	(	6	25
INT	int	6	26
ID	limite	6	30
PC	)	6	36
PYC	;	6	37
CHAR	char	7	0
ID	siguiente_char	7	5
PA	(	7	19
CHAR	char	7	20
ID	c	7	25
PC	)	7	26
PYC	;	7	27
INT	int	9	0
ID	main	9	4
PA	(	9	8
PC	)	9	9
LLA	{	9	11
INT	int	10	4
ID	x	10	8
ASIGN	=	10	10
NUMERO	5	10	12
PYC	;	10	13
INT	int	11	4
ID	y	11	8
ASIGN	=	11	10
NUMERO	10	11	12
PYC	;	11	14
INT	int	12	4
ID	z	12	8
PYC	;	12	9
DOUBLE	double	13	4
ID	d1	13	11
ASIGN	=	13	14
NUMERO	3.5	13	16
PYC	;	13	19
DOUBLE	double	14	4
ID	d2	14	11
ASIGN	=	14	14
NUMERO	2.0	14	16
PYC	;	14	19
CHAR	char	15	4
ID	c1	15	9
ASIGN	=	15	12
CHAR_CONST	'A'	15	14
PYC	;	15	17
CHAR	char	16	4
ID	c2	16	9
PYC	;	16	11
ID	z	18	4
ASIGN	=	18	6
ID	x	18	8
SUMA	+	18	10
ID	y	18	12
PYC	;	18	13
ID	z	19	4
ASIGN	=	19	6
ID	z	19	8
RESTA	-	19	10
NUMERO	3	19	12
MULT	*	19	14
NUMERO	2	19	16
PYC	;	19	17
ID	z	20	4
ASIGN	=	20	6
ID	z	20	8
DIV	/	20	10
NUMERO	3	20	12
PYC	;	20	13
ID	d1	22	4
ASIGN	=	22	7
ID	d1	22	9
SUMA	+	22	12
ID	d2	22	14
MULT	*	22	17
NUMERO	2.0	22	19
PYC	;	22	22
ID	d1	23	4
ASIGN	=	23	7
ID	d1	23	9
DIV	/	23	12
NUMERO	2.5	23	14
PYC	;	23	17
INT	int	25	4
ID	condicion1	25	8
ASIGN	=	25	19
PA	(	25	21
ID	x	25	22
MENOR	<	25	24
ID	y	25	26
PC	)	25	27
PYC	;	25	28
INT	int	26	4
ID	condicion2	26	8
ASIGN	=	26	19
PA	(	26	21
ID	z	26	22
EQ	==	26	24
NUMERO	3	26	27
PC	)	26	28
PYC	;	26	29
INT	int	27	4
ID	condicion3	27	8
ASIGN	=	27	19
PA	(	27	21
ID	x	27	22
MAYOR	>	27	24
ID	y	27	26
PC	)	27	27
PYC	;	27	28
INT	int	28	4
ID	condicion4	28	8
ASIGN	=	28	19
PA	(	28	21
ID	condicion1	28	22
AND	&&	28	33
ID	condicion2	28	36
PC	)	28	46
PYC	;	28	47
INT	int	29	4
ID	condicion5	29	8
ASIGN	=	29	19
PA	(	29	21
ID	condicion3	29	22
OR	||	29	33
ID	condicion2	29	36
PC	)	29	46
PYC	;	29	47
INT	int	30	4
ID	condicion6	30	8
ASIGN	=	30	19
1	!	30	21
ID	condicion3	30	22
PYC	;	30	32
IF	if	32	4
PA	(	32	7
ID	condicion4	32	8
PC	)	32	18
LLA	{	32	20
ID	z	33	8
ASIGN	=	33	10
ID	z	33	12
SUMA	+	33	14
NUMERO	1	33	16
PYC	;	33	17
LLC	}	34	4
ELSE	else	34	6
LLA	{	34	11
ID	z	35	8
ASIGN	=	35	10
ID	z	35	12
RESTA	-	35	14
NUMERO	1	35	16
PYC	;	35	17
LLC	}	36	4
IF	if	38	4
PA	(	38	7
ID	condicion3	38	8
PC	)	38	18
LLA	{	38	20
ID	z	39	8
ASIGN	=	39	10
RESTA	-	39	12
NUMERO	1	39	13
PYC	;	39	14
LLC	}	40	4
ELSE	else	40	6
LLA	{	40	11
ID	z	41	8
ASIGN	=	41	10
ID	z	41	12
SUMA	+	41	14
NUMERO	2	41	16
PYC	;	41	17
LLC	}	42	4
INT	int	44	4
ID	suma	44	8
ASIGN	=	44	13
ID	sumar	44	15
PA	(	44	20
ID	x	44	21
COMA	,	44	22
ID	y	44	24
PC	)	44	25
PYC	;	44	26
INT	int	45	4
ID	maximo	45	8
ASIGN	=	45	15
ID	max_int	45	17
PA	(	45	24
ID	x	45	25
COMA	,	45	26
ID	y	45	28
PC	)	45	29
PYC	;	45	30
DOUBLE	double	46	4
ID	prom	46	11
ASIGN	=	46	16
ID	promedio3	46	18
PA	(	46	27
NUMERO	3	46	28
COMA	,	46	29
NUMERO	4	46	31
COMA	,	46	32
NUMERO	5	46	34
PC	)	46	35
PYC	;	46	36
INT	int	47	4
ID	fact_5	47	8
ASIGN	=	47	15
ID	factorial	47	17
PA	(	47	26
NUMERO	5	47	27
PC	)	47	28
PYC	;	47	29
INT	int	48	4
ID	resultado_bc	48	8
ASIGN	=	48	21
ID	prueba_break_continue	48	23
PA	(	48	44
NUMERO	10	48	45
PC	)	48	47
PYC	;	48	48
INT	int	50	4
ID	contador	50	8
ASIGN	=	50	17
NUMERO	0	50	19
PYC	;	50	20
WHILE	while	51	4
PA	(	51	10
ID	contador	51	11
MENOR	<	51	20
NUMERO	5	51	22
PC	)	51	23
LLA	{	51	25
ID	contador	52	8
ASIGN	=	52	17
ID	contador	52	19
SUMA	+	52	28
NUMERO	1	52	30
PYC	;	52	31
LLC	}	53	4
INT	int	55	4
ID	suma_for	55	8
ASIGN	=	55	17
NUMERO	0	55	19
PYC	;	55	20
INT	int	56	4
ID	i	56	8
PYC	;	56	9
FOR	for	57	4
PA	(	57	8
ID	i	57	9
ASIGN	=	57	11
NUMERO	0	57	13
PYC	;	57	14
ID	i	57	16
MENOR	<	57	18
NUMERO	5	57	20
PYC	;	57	21
ID	i	57	23
ASIGN	=	57	25
ID	i	57	27
SUMA	+	57	29
NUMERO	1	57	31
PC	)	57	32
LLA	{	57	34
ID	suma_for	58	8
ASIGN	=	58	17
ID	suma_for	58	19
SUMA	+	58	28
ID	i	58	30
PYC	;	58	31
LLC	}	59	4
INT	int	61	4
ID	suma_pares	61	8
ASIGN	=	61	19
NUMERO	0	61	21
PYC	;	61	22
FOR	for	62	4
PA	(	62	8
